[304/500] loss: 0.000479, lr: [3.125e-05]
[305/500] loss: 0.000464, lr: [3.125e-05]
[306/500] loss: 0.000419, lr: [3.125e-05]
[307/500] loss: 0.000427, lr: [3.125e-05]
[308/500] loss: 0.000428, lr: [3.125e-05]
[309/500] loss: 0.000409, lr: [1.5625e-05]
[310/500] loss: 0.000397, lr: [1.5625e-05]
[311/500] loss: 0.000363, lr: [1.5625e-05]
[312/500] loss: 0.000311, lr: [1.5625e-05]
[313/500] loss: 0.000267, lr: [1.5625e-05]
[314/500] loss: 0.000248, lr: [1.5625e-05]
[315/500] loss: 0.000256, lr: [1.5625e-05]
[316/500] loss: 0.000270, lr: [1.5625e-05]
[317/500] loss: 0.000273, lr: [1.5625e-05]
[318/500] loss: 0.000262, lr: [1.5625e-05]
[319/500] loss: 0.000244, lr: [1.5625e-05]
[320/500] loss: 0.000234, lr: [1.5625e-05]
[321/500] loss: 0.000219, lr: [1.5625e-05]
[322/500] loss: 0.000216, lr: [1.5625e-05]
[323/500] loss: 0.000225, lr: [1.5625e-05]
[324/500] loss: 0.000223, lr: [1.5625e-05]
[325/500] loss: 0.000218, lr: [1.5625e-05]
[326/500] loss: 0.000211, lr: [1.5625e-05]
[327/500] loss: 0.000206, lr: [1.5625e-05]
[328/500] loss: 0.000203, lr: [1.5625e-05]
[329/500] loss: 0.000204, lr: [1.5625e-05]
[330/500] loss: 0.000206, lr: [1.5625e-05]
[331/500] loss: 0.000202, lr: [1.5625e-05]
[332/500] loss: 0.000197, lr: [1.5625e-05]
[333/500] loss: 0.000197, lr: [1.5625e-05]
[334/500] loss: 0.000194, lr: [1.5625e-05]
[335/500] loss: 0.000192, lr: [1.5625e-05]
[336/500] loss: 0.000185, lr: [1.5625e-05]
[337/500] loss: 0.000180, lr: [1.5625e-05]
[338/500] loss: 0.000181, lr: [1.5625e-05]
[339/500] loss: 0.000182, lr: [1.5625e-05]
[340/500] loss: 0.000183, lr: [1.5625e-05]
[341/500] loss: 0.000180, lr: [1.5625e-05]
[342/500] loss: 0.000178, lr: [1.5625e-05]
[343/500] loss: 0.000183, lr: [1.5625e-05]
[344/500] loss: 0.000219, lr: [1.5625e-05]
[345/500] loss: 0.000220, lr: [1.5625e-05]
[346/500] loss: 0.000207, lr: [1.5625e-05]
[347/500] loss: 0.000192, lr: [1.5625e-05]
[348/500] loss: 0.000187, lr: [1.5625e-05]
[349/500] loss: 0.000200, lr: [1.5625e-05]
[350/500] loss: 0.000238, lr: [1.5625e-05]
[351/500] loss: 0.000219, lr: [1.5625e-05]
[352/500] loss: 0.000210, lr: [1.5625e-05]
[353/500] loss: 0.000236, lr: [7.8125e-06]
[354/500] loss: 0.000243, lr: [7.8125e-06]
[355/500] loss: 0.000198, lr: [7.8125e-06]
[356/500] loss: 0.000194, lr: [7.8125e-06]
[357/500] loss: 0.000151, lr: [7.8125e-06]
[358/500] loss: 0.000166, lr: [7.8125e-06]
[359/500] loss: 0.000147, lr: [7.8125e-06]
[360/500] loss: 0.000169, lr: [7.8125e-06]
[361/500] loss: 0.000159, lr: [7.8125e-06]
[362/500] loss: 0.000152, lr: [7.8125e-06]
[363/500] loss: 0.000136, lr: [7.8125e-06]
[364/500] loss: 0.000128, lr: [7.8125e-06]
[365/500] loss: 0.000123, lr: [7.8125e-06]
[366/500] loss: 0.000118, lr: [7.8125e-06]
[367/500] loss: 0.000123, lr: [7.8125e-06]
[368/500] loss: 0.000123, lr: [7.8125e-06]
[369/500] loss: 0.000117, lr: [7.8125e-06]
[370/500] loss: 0.000113, lr: [7.8125e-06]
[371/500] loss: 0.000110, lr: [7.8125e-06]
[372/500] loss: 0.000106, lr: [7.8125e-06]
[373/500] loss: 0.000109, lr: [7.8125e-06]
[374/500] loss: 0.000113, lr: [7.8125e-06]
[375/500] loss: 0.000109, lr: [7.8125e-06]
[376/500] loss: 0.000098, lr: [7.8125e-06]
[377/500] loss: 0.000099, lr: [7.8125e-06]
[378/500] loss: 0.000100, lr: [7.8125e-06]
[379/500] loss: 0.000099, lr: [7.8125e-06]
[380/500] loss: 0.000097, lr: [7.8125e-06]
[381/500] loss: 0.000100, lr: [7.8125e-06]
[382/500] loss: 0.000099, lr: [7.8125e-06]
[383/500] loss: 0.000096, lr: [7.8125e-06]
[384/500] loss: 0.000098, lr: [7.8125e-06]
[385/500] loss: 0.000103, lr: [7.8125e-06]
[386/500] loss: 0.000110, lr: [7.8125e-06]
[387/500] loss: 0.000104, lr: [7.8125e-06]
[388/500] loss: 0.000096, lr: [7.8125e-06]
[389/500] loss: 0.000100, lr: [7.8125e-06]
[390/500] loss: 0.000113, lr: [7.8125e-06]
[391/500] loss: 0.000114, lr: [7.8125e-06]
[392/500] loss: 0.000104, lr: [7.8125e-06]
[393/500] loss: 0.000102, lr: [7.8125e-06]
[394/500] loss: 0.000106, lr: [3.90625e-06]
[395/500] loss: 0.000104, lr: [3.90625e-06]
[396/500] loss: 0.000093, lr: [3.90625e-06]
[397/500] loss: 0.000080, lr: [3.90625e-06]
[398/500] loss: 0.000067, lr: [3.90625e-06]
[399/500] loss: 0.000062, lr: [3.90625e-06]
[400/500] loss: 0.000064, lr: [3.90625e-06]
[401/500] loss: 0.000068, lr: [3.90625e-06]
[402/500] loss: 0.000068, lr: [3.90625e-06]
[403/500] loss: 0.000065, lr: [3.90625e-06]
[404/500] loss: 0.000060, lr: [3.90625e-06]
[405/500] loss: 0.000058, lr: [3.90625e-06]
[406/500] loss: 0.000057, lr: [3.90625e-06]
[407/500] loss: 0.000054, lr: [3.90625e-06]
[408/500] loss: 0.000052, lr: [3.90625e-06]
[409/500] loss: 0.000055, lr: [3.90625e-06]
[410/500] loss: 0.000056, lr: [3.90625e-06]
[411/500] loss: 0.000055, lr: [3.90625e-06]
[412/500] loss: 0.000051, lr: [3.90625e-06]
[413/500] loss: 0.000049, lr: [3.90625e-06]
[414/500] loss: 0.000048, lr: [3.90625e-06]
[415/500] loss: 0.000048, lr: [3.90625e-06]
[416/500] loss: 0.000048, lr: [3.90625e-06]
[417/500] loss: 0.000047, lr: [3.90625e-06]
[418/500] loss: 0.000048, lr: [3.90625e-06]
[419/500] loss: 0.000054, lr: [3.90625e-06]
[420/500] loss: 0.000058, lr: [3.90625e-06]
[421/500] loss: 0.000053, lr: [3.90625e-06]
[422/500] loss: 0.000049, lr: [3.90625e-06]
[423/500] loss: 0.000049, lr: [3.90625e-06]
[424/500] loss: 0.000054, lr: [3.90625e-06]
[425/500] loss: 0.000055, lr: [3.90625e-06]
[426/500] loss: 0.000053, lr: [3.90625e-06]
[427/500] loss: 0.000049, lr: [3.90625e-06]
[428/500] loss: 0.000047, lr: [3.90625e-06]
[429/500] loss: 0.000048, lr: [3.90625e-06]
[430/500] loss: 0.000049, lr: [3.90625e-06]
[431/500] loss: 0.000050, lr: [3.90625e-06]
[432/500] loss: 0.000048, lr: [3.90625e-06]
[433/500] loss: 0.000045, lr: [3.90625e-06]
